DEPTH(ft),AZM(deg),BIT(in),DIFP(psi),EW(ft),Gamma(gapi),INC(deg),NS(ft),ROP(ft / min),RPM(rpm),SPP(psi),TOR(ft_lb),TPO(gal / min),TVD(ft),WOB(klbs),MSE1(ksi),MSE2(ksi),MSE(ksi)
139.5,283.5592683,,,-1.549634569,,1.331811847,0.616361221,,,,,,139.4867075,,,,
140,284.5756098,,,-1.555188815,,1.336585366,0.618570401,,,,,,139.9866599,,,,
140.5,285.5919512,,,-1.56074306,,1.341358885,0.620779581,,,,,,140.4866122,,,,
141,286.6082927,,,-1.566297306,,1.346132404,0.622988761,,,,,,140.9865646,,,,
141.5,287.6246341,,,-1.571851552,,1.350905923,0.625197941,,,,,,141.4865169,,,,
142,288.6409756,,,-1.577405798,,1.355679443,0.627407121,,,,,,141.9864693,,,,
142.5,289.6573171,,,-1.582960044,,1.360452962,0.629616301,,,,,,142.4864216,,,,
143,290.6736585,,,-1.588514289,,1.365226481,0.631825481,,,,,,142.986374,,,,
143.5,291.69,,,-1.594068535,,1.37,0.634034661,,,,,,143.4863264,,,,
144,291.6966667,,,-1.604954645,,1.369920635,0.638641208,,,,,,143.9861866,,,,
144.5,291.7033333,,,-1.615840755,,1.36984127,0.643247755,,,,,,144.4860468,,,,
